Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Palo Pinto, TX",28111,27026.0,30068,14.0,$436,23.5,951.79
"Panola, TX",23796,22756.0,31882,12.0,$374,24.8,801.75
"Parker, TX",116927,88495.0,35053,20.2,$550,29.9,903.48
"Parmer, TX",10269,10016.0,25953,14.8,$397,13.7,880.78
"Pecos, TX",15507,16809.0,19306,10.8,$342,17.1,4763.85
"Polk, TX",45413,41133.0,31832,10.6,$393,29.3,1057.09
"Potter, TX",121073,113546.0,29331,14.6,$492,16.7,908.37
"Presidio, TX",7818,7304.0,17601,15.3,$209,21.2,3855.24
"Rains, TX",10914,9139.0,24768,12.1,$316,36.2,229.45
"Randall, TX",120725,104312.0,34548,29.9,$566,17.2,911.54
"Reagan, TX",3367,3326.0,33478,9.1,$354,19.5,1175.3
"Real, TX",3309,3047.0,24233,21.0,$342,18.6,699.2
"Red River, TX",12860,14314.0,24629,9.1,$309,26.6,1036.58
"Reeves, TX",13783,13137.0,21804,6.7,$300,13.9,2635.38
"Refugio, TX",7383,7828.0,31015,10.5,$369,24.6,770.44
"Roberts, TX",929,887.0,31022,36.2,$431,17.2,924.06
"Robertson, TX",16622,16000.0,29753,15.5,$327,24.6,855.68
"Rockwall, TX",78337,43080.0,40665,34.2,$927,32.0,127.04
"Runnels, TX",10501,11495.0,25636,17.4,$309,18.7,1050.95
"Rusk, TX",53330,47372.0,28081,14.0,$391,23.2,924.03
"Sabine, TX",10834,10469.0,29372,11.1,$297,25.2,491.39
"San Augustine, TX",8865,8946.0,25198,12.5,$272,28.2,530.66
"San Jacinto, TX",26384,22246.0,27996,9.5,$369,36.8,569.24
"San Patricio, TX",64804,67138.0,29272,15.1,$516,20.8,693.45
"San Saba, TX",6131,6186.0,24596,18.0,$280,20.1,1135.3
"Schleicher, TX",3461,2935.0,24413,17.9,$384,16.9,1310.63
"Scurry, TX",16921,16361.0,31436,15.5,$364,14.2,905.44
"Shackelford, TX",3378,3302.0,39133,24.5,$321,18.6,914.29
"Shelby, TX",25448,25224.0,26190,12.8,$313,23.5,795.58
"Sherman, TX",3034,3186.0,50114,19.5,$351,15.5,923.04
"Smith, TX",209714,174706.0,34713,23.2,$561,21.0,921.45
"Somervell, TX",8490,6809.0,31676,23.4,$404,27.6,186.46
"Starr, TX",60968,53597.0,13854,8.2,$271,21.2,1223.18
"Stephens, TX",9630,9674.0,29589,11.1,$368,14.6,896.72
"Sterling, TX",1143,1393.0,25509,22.0,$406,17.6,923.45
"Stonewall, TX",1490,1693.0,35968,21.3,$190,20.8,916.31
"Sutton, TX",4128,4077.0,39469,16.0,$341,13.5,1453.93
"Swisher, TX",7854,8378.0,24695,14.0,$352,16.2,890.16
"Tarrant, TX",1809034,1446219.0,38538,28.3,$637,25.5,863.61
"Taylor, TX",131506,126555.0,33047,23.3,$500,15.1,915.55
"Terrell, TX",984,1081.0,26042,26.6,$319,19.2,2358.03
"Terry, TX",12651,12761.0,29197,12.4,$349,19.3,888.84
"Throckmorton, TX",1641,1850.0,34299,17.5,$155,20.8,912.55
"Titus, TX",32334,28118.0,27885,13.7,$407,17.4,406.05
"Tom Green, TX",110224,104010.0,31090,21.3,$520,16.9,1521.97
"Travis, TX",1024266,812280.0,40430,43.1,$722,23.8,990.2
"Trinity, TX",14585,13779.0,24520,11.3,$333,31.1,693.61
"Tyler, TX",21766,20871.0,25607,13.8,$367,31.3,924.5
"Upshur, TX",39309,35291.0,28164,14.5,$413,27.2,582.95
"Upton, TX",3355,3404.0,33421,11.2,$306,16.7,1241.32
"Uvalde, TX",26405,25926.0,25238,14.0,$419,17.8,1551.95
"Val Verde, TX",48879,44856.0,25381,15.7,$381,18.3,3144.75
"Van Zandt, TX",52579,48140.0,31585,12.5,$460,35.4,842.56
"Victoria, TX",86793,84088.0,35121,17.1,$489,21.0,882.14
"Walker, TX",67861,61758.0,21385,16.9,$545,21.7,784.17
"Waller, TX",43205,32663.0,31025,17.8,$520,32.3,513.43
"Ward, TX",10658,10909.0,30025,8.8,$326,20.4,835.6
"Washington, TX",33718,30373.0,35618,24.1,$526,21.3,603.95
"Webb, TX",250304,193117.0,21423,17.1,$487,20.4,3361.48
"Wharton, TX",41280,41188.0,29861,15.7,$399,24.5,1086.15
"Wheeler, TX",5410,5284.0,40572,12.5,$369,18.6,914.52
"Wichita, TX",131500,131664.0,34889,20.9,$511,15.7,627.78
"Wilbarger, TX",13535,14676.0,29890,16.1,$358,12.6,970.84
"Willacy, TX",22134,20082.0,20765,9.5,$339,18.4,590.55
"Williamson, TX",422679,249967.0,35659,35.9,$774,26.3,1118.3
"Wilson, TX",42918,32408.0,29455,17.2,$465,31.8,803.73
"Winkler, TX",7110,7173.0,32488,9.4,$314,22.2,841.11
"Wise, TX",59127,48793.0,29918,15.2,$520,29.8,904.42
